id,repo,provenance,tier,nQuestions,fullPct2,subjectPct2,diff,recordChars
grafana_grafana__113133,grafana/grafana,human,empty,3,0.0000,0.0000,0.0000,42
grafana_grafana__113480,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,62
grafana_grafana__114047,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,137
grafana_grafana__114824,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,1895
grafana_grafana__116367,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,708
grafana_grafana__116416,grafana/grafana,human,substantive,3,33.3333,0.0000,33.3333,224
grafana_grafana__116485,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,208
grafana_grafana__116620,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,170
grafana_grafana__116887,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,2070
grafana_grafana__117003,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,432
grafana_grafana__117483,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,4120
grafana_grafana__117525,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,696
grafana_grafana__117889,grafana/grafana,agent,trivial,3,0.0000,0.0000,0.0000,291
grafana_grafana__118231,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,290
grafana_grafana__118489,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,136
grafana_grafana__119026,grafana/grafana,human,substantive,4,0.0000,0.0000,0.0000,219
grafana_grafana__119110,grafana/grafana,agent,substantive,4,50.0000,0.0000,50.0000,937
grafana_grafana__119164,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,233
grafana_grafana__119402,grafana/grafana,agent,substantive,4,50.0000,0.0000,50.0000,2547
grafana_grafana__119521,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,4559
grafana_grafana__119776,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,85
grafana_grafana__119853,grafana/grafana,human,empty,3,0.0000,0.0000,0.0000,42
grafana_grafana__119906,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,1384
grafana_grafana__119918,grafana/grafana,human,substantive,4,50.0000,0.0000,50.0000,4131
grafana_grafana__119934,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,115
grafana_grafana__120352,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,534
grafana_grafana__120731,grafana/grafana,agent,substantive,4,75.0000,0.0000,75.0000,831
grafana_grafana__120820,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,1909
grafana_grafana__120853,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,1671
grafana_grafana__120917,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,467
grafana_grafana__121002,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,1696
grafana_grafana__121571,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,92
grafana_grafana__123166,grafana/grafana,agent,substantive,4,50.0000,0.0000,50.0000,995
grafana_grafana__123343,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,811
grafana_grafana__123358,grafana/grafana,agent,substantive,4,100.0000,0.0000,100.0000,1727
grafana_grafana__123361,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,549
grafana_grafana__123493,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,962
grafana_grafana__123519,grafana/grafana,human,empty,4,0.0000,0.0000,0.0000,40
grafana_grafana__123613,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,3700
grafana_grafana__123675,grafana/grafana,agent,substantive,4,100.0000,25.0000,75.0000,3200
grafana_grafana__123725,grafana/grafana,agent,substantive,3,66.6667,33.3333,33.3333,810
grafana_grafana__123797,grafana/grafana,agent,substantive,4,100.0000,25.0000,75.0000,5472
grafana_grafana__124046,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,805
grafana_grafana__124148,grafana/grafana,agent,substantive,4,0.0000,0.0000,0.0000,581
grafana_grafana__124162,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,452
grafana_grafana__124347,grafana/grafana,human,trivial,4,25.0000,0.0000,25.0000,140
grafana_grafana__124411,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,619
grafana_grafana__124842,grafana/grafana,agent,substantive,4,100.0000,0.0000,100.0000,2473
grafana_grafana__124844,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,3727
grafana_grafana__125316,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,551
grafana_grafana__125660,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,55
grafana_grafana__125780,grafana/grafana,agent,substantive,3,66.6667,33.3333,33.3333,742
grafana_grafana__125811,grafana/grafana,agent,substantive,4,50.0000,0.0000,50.0000,2216
grafana_grafana__125912,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,740
grafana_grafana__125936,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,972
grafana_grafana__125945,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,1547
grafana_grafana__125978,grafana/grafana,agent,substantive,4,75.0000,0.0000,75.0000,1852
grafana_grafana__125986,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,252
grafana_grafana__126021,grafana/grafana,human,empty,3,0.0000,0.0000,0.0000,57
grafana_grafana__126104,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,623
grafana_grafana__126131,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,289
grafana_grafana__126298,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,135
grafana_grafana__126639,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,851
grafana_grafana__126808,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,894
grafana_grafana__126905,grafana/grafana,human,empty,4,0.0000,0.0000,0.0000,50
grafana_grafana__126927,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,7277
grafana_grafana__127122,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,500
grafana_grafana__127128,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,11945
grafana_grafana__127262,grafana/grafana,agent,substantive,4,50.0000,0.0000,50.0000,5309
grafana_grafana__127392,grafana/grafana,human,trivial,4,0.0000,0.0000,0.0000,199
grafana_grafana__127455,grafana/grafana,agent,substantive,3,33.3333,0.0000,33.3333,353
grafana_grafana__127528,grafana/grafana,agent,substantive,3,66.6667,0.0000,66.6667,2148
grafana_grafana__127698,grafana/grafana,agent,substantive,3,100.0000,0.0000,100.0000,3244
