id,repo,provenance,tier,questions,coverage_full_record,coverage_subject_only,record_chars
grafana_grafana__113133,grafana/grafana,human,empty,3,0,0,42
grafana_grafana__113480,grafana/grafana,human,trivial,3,0,0,62
grafana_grafana__114047,grafana/grafana,human,trivial,3,0,0,137
grafana_grafana__114824,grafana/grafana,agent,substantive,3,0.666667,0,1895
grafana_grafana__116367,grafana/grafana,human,substantive,3,0,0,708
grafana_grafana__116416,grafana/grafana,human,substantive,3,0.333333,0,224
grafana_grafana__116485,grafana/grafana,human,substantive,3,0,0,208
grafana_grafana__116620,grafana/grafana,human,trivial,3,0,0,170
grafana_grafana__116887,grafana/grafana,agent,substantive,3,0.333333,0,2070
grafana_grafana__117003,grafana/grafana,agent,substantive,3,0.333333,0,432
grafana_grafana__117483,grafana/grafana,agent,substantive,3,1,0,4120
grafana_grafana__117525,grafana/grafana,agent,substantive,3,0.666667,0,696
grafana_grafana__117889,grafana/grafana,agent,trivial,3,0,0,291
grafana_grafana__118231,grafana/grafana,agent,substantive,3,0.666667,0,290
grafana_grafana__118489,grafana/grafana,human,trivial,3,0,0,136
grafana_grafana__119026,grafana/grafana,human,substantive,4,0,0,219
grafana_grafana__119110,grafana/grafana,agent,substantive,4,0.5,0,937
grafana_grafana__119164,grafana/grafana,human,substantive,3,0,0,233
grafana_grafana__119402,grafana/grafana,agent,substantive,4,0.5,0,2547
grafana_grafana__119521,grafana/grafana,agent,substantive,3,0.666667,0,4559
grafana_grafana__119776,grafana/grafana,human,trivial,3,0,0,85
grafana_grafana__119853,grafana/grafana,human,empty,3,0,0,42
grafana_grafana__119906,grafana/grafana,agent,substantive,3,0,0,1384
grafana_grafana__119918,grafana/grafana,human,substantive,4,0.5,0,4131
grafana_grafana__119934,grafana/grafana,human,trivial,3,0,0,115
grafana_grafana__120352,grafana/grafana,agent,substantive,3,0.333333,0,534
grafana_grafana__120731,grafana/grafana,agent,substantive,4,0.75,0,831
grafana_grafana__120820,grafana/grafana,agent,substantive,3,0.666667,0,1909
grafana_grafana__120853,grafana/grafana,agent,substantive,3,1,0,1671
grafana_grafana__120917,grafana/grafana,agent,substantive,3,0.666667,0,467
grafana_grafana__121002,grafana/grafana,agent,substantive,3,1,0,1696
grafana_grafana__121571,grafana/grafana,human,trivial,3,0,0,92
grafana_grafana__123166,grafana/grafana,agent,substantive,4,0.5,0,995
grafana_grafana__123343,grafana/grafana,agent,substantive,3,0.333333,0,811
grafana_grafana__123358,grafana/grafana,agent,substantive,4,1,0,1727
grafana_grafana__123361,grafana/grafana,agent,substantive,3,1,0,549
grafana_grafana__123493,grafana/grafana,agent,substantive,3,0.666667,0,962
grafana_grafana__123519,grafana/grafana,human,empty,4,0,0,40
grafana_grafana__123613,grafana/grafana,agent,substantive,3,1,0,3700
grafana_grafana__123675,grafana/grafana,agent,substantive,4,1,0.25,3200
grafana_grafana__123725,grafana/grafana,agent,substantive,3,0.666667,0.333333,810
grafana_grafana__123797,grafana/grafana,agent,substantive,4,1,0.25,5472
grafana_grafana__124046,grafana/grafana,agent,substantive,3,0.666667,0,805
grafana_grafana__124148,grafana/grafana,agent,substantive,4,0,0,581
grafana_grafana__124162,grafana/grafana,agent,substantive,3,0,0,452
grafana_grafana__124347,grafana/grafana,human,trivial,4,0.25,0,140
